celltypes,traits,Escore,pEscore,trait category,tissue
Bcells (1.3%),Lymphocyte.percent,2.57,6.14E-07,blood test,blood
Tcells (1.7%),Lymphocyte.percent,3.41,1.08E-09,blood test,blood
Dendritic cells (2.6%),Lymphocyte.percent,1.063,2.91E-15,blood test,blood
Monocytes (2.1%),Lymphocyte.percent,1.421,3.65E-14,blood test,blood
Megakaryocytes (1.5%),Lymphocyte.percent,3.224,1.48E-08,blood test,blood
Erythroid (4.2%),Lymphocyte.percent,0.443,1.95E-15,blood test,blood
Bcells (1.3%),Monocyte.percent,4.787,0.00555,blood test,blood
Tcells (1.7%),Monocyte.percent,0.175,9.87E-05,blood test,blood
Dendritic cells (2.6%),Monocyte.percent,4.094,1.88E-05,blood test,blood
Monocytes (2.1%),Monocyte.percent,5,2.13E-07,blood test,blood
Megakaryocytes (1.5%),Monocyte.percent,2.257,2.26E-05,blood test,blood
Erythroid (4.2%),Monocyte.percent,0.695,1.18E-09,blood test,blood
Bcells (1.3%),Platelet.count,0,6.01E-07,blood test,blood
Tcells (1.7%),Platelet.count,0,1.42E-07,blood test,blood
Dendritic cells (2.6%),Platelet.count,1.095,7.96E-13,blood test,blood
Monocytes (2.1%),Platelet.count,1.988,2.49E-13,blood test,blood
Megakaryocytes (1.5%),Platelet.count,5,4.48E-11,blood test,blood
Erythroid (4.2%),Platelet.count,2.079,8.83E-19,blood test,blood
Bcells (1.3%),RBC.count,1.523,0.000128,blood test,blood
Tcells (1.7%),RBC.count,1.33,0.000379,blood test,blood
Dendritic cells (2.6%),RBC.count,1.468,5.91E-08,blood test,blood
Monocytes (2.1%),RBC.count,1.431,2.80E-07,blood test,blood
Megakaryocytes (1.5%),RBC.count,3.659,9.52E-05,blood test,blood
Erythroid (4.2%),RBC.count,2.519,2.94E-11,blood test,blood
Bcells (1.3%),RBC.distwidth,0.677,0.00228,blood test,blood
Tcells (1.7%),RBC.distwidth,0.4,0.000365,blood test,blood
Dendritic cells (2.6%),RBC.distwidth,1.27,3.15E-07,blood test,blood
Monocytes (2.1%),RBC.distwidth,1.342,5.47E-06,blood test,blood
Megakaryocytes (1.5%),RBC.distwidth,5,3.14E-06,blood test,blood
Erythroid (4.2%),RBC.distwidth,3.408,1.01E-10,blood test,blood
Bcells (1.3%),Inflammatory Bowel Disease,3.116,2.32E-10,immune,blood
Tcells (1.7%),Inflammatory Bowel Disease,3.267,8.27E-10,immune,blood
Dendritic cells (2.6%),Inflammatory Bowel Disease,2.54,2.36E-13,immune,blood
Monocytes (2.1%),Inflammatory Bowel Disease,1.649,5.76E-11,immune,blood
Megakaryocytes (1.5%),Inflammatory Bowel Disease,0.964,1.19E-07,immune,blood
Erythroid (4.2%),Inflammatory Bowel Disease,0.335,6.65E-13,immune,blood
Bcells (1.3%),Crohns Disease,2.956,1.97E-05,immune,blood
Tcells (1.7%),Crohns Disease,3.321,1.07E-05,immune,blood
Dendritic cells (2.6%),Crohns Disease,2.326,9.86E-08,immune,blood
Monocytes (2.1%),Crohns Disease,0.767,4.33E-06,immune,blood
Megakaryocytes (1.5%),Crohns Disease,0.08,0.000316,immune,blood
Erythroid (4.2%),Crohns Disease,0.455,9.16E-08,immune,blood
Bcells (1.3%),Ulcerative colitis,3.232,1.52E-05,immune,blood
Tcells (1.7%),Ulcerative colitis,0.599,4.62E-05,immune,blood
Dendritic cells (2.6%),Ulcerative colitis,1.189,1.27E-05,immune,blood
Monocytes (2.1%),Ulcerative colitis,1.842,1.71E-05,immune,blood
Megakaryocytes (1.5%),Ulcerative colitis,0.473,0.000905,immune,blood
Erythroid (4.2%),Ulcerative colitis,0,1.62E-05,immune,blood
Bcells (1.3%),Eczema,2.495,0.000922,immune,blood
Tcells (1.7%),Eczema,3.585,6.41E-08,immune,blood
Dendritic cells (2.6%),Eczema,0.08,9.25E-09,immune,blood
Monocytes (2.1%),Eczema,0.209,1.98E-08,immune,blood
Megakaryocytes (1.5%),Eczema,0,0.000243,immune,blood
Erythroid (4.2%),Eczema,0,3.09E-07,immune,blood
Bcells (1.3%),Rheumatoid arthritis,5.015,3.23E-06,immune,blood
Tcells (1.7%),Rheumatoid arthritis,3.909,4.57E-05,immune,blood
Dendritic cells (2.6%),Rheumatoid arthritis,1.884,1.16E-05,immune,blood
Monocytes (2.1%),Rheumatoid arthritis,0.172,0.000937,immune,blood
Megakaryocytes (1.5%),Rheumatoid arthritis,0,0.00506,immune,blood
Erythroid (4.2%),Rheumatoid arthritis,0.872,1.52E-05,immune,blood
Bcells (1.3%),Primary Biliary cirrhosis,4.343,6.24E-06,immune,blood
Tcells (1.7%),Primary Biliary cirrhosis,5.338,3.91E-05,immune,blood
Dendritic cells (2.6%),Primary Biliary cirrhosis,2.301,4.40E-07,immune,blood
Monocytes (2.1%),Primary Biliary cirrhosis,0,0.000278,immune,blood
Megakaryocytes (1.5%),Primary Biliary cirrhosis,0,0.00113,immune,blood
Erythroid (4.2%),Primary Biliary cirrhosis,0,6.59E-06,immune,blood
Bcells (1.3%),Lupus,9.107,8.59E-06,immune,blood
Tcells (1.7%),Lupus,5.993,2.52E-05,immune,blood
Dendritic cells (2.6%),Lupus,5.859,1.11E-05,immune,blood
Monocytes (2.1%),Lupus,3.053,7.95E-05,immune,blood
Megakaryocytes (1.5%),Lupus,3.472,0.00146,immune,blood
Erythroid (4.2%),Lupus,0.044,0.000107,immune,blood
Bcells (1.3%),Type1 Diabetes,8.612,6.31E-06,immune,blood
Tcells (1.7%),Type1 Diabetes,9.431,2.15E-06,immune,blood
Dendritic cells (2.6%),Type1 Diabetes,4.058,1.02E-07,immune,blood
Monocytes (2.1%),Type1 Diabetes,0.54,1.23E-05,immune,blood
Megakaryocytes (1.5%),Type1 Diabetes,0.464,0.000146,immune,blood
Erythroid (4.2%),Type1 Diabetes,0,3.63E-07,immune,blood
Bcells (1.3%),Celiac,1.672,1.68E-06,immune,blood
Tcells (1.7%),Celiac,4.491,2.28E-07,immune,blood
Dendritic cells (2.6%),Celiac,0.186,7.17E-09,immune,blood
Monocytes (2.1%),Celiac,0,7.21E-07,immune,blood
Megakaryocytes (1.5%),Celiac,5.302,2.77E-06,immune,blood
Erythroid (4.2%),Celiac,0,3.10E-09,immune,blood
Bcells (1.3%),Alzheimers,2.046,0.0027,immune,blood
Tcells (1.7%),Alzheimers,0,0.032,immune,blood
Dendritic cells (2.6%),Alzheimers,3.705,6.04E-06,immune,blood
Monocytes (2.1%),Alzheimers,4.743,1.64E-06,immune,blood
Megakaryocytes (1.5%),Alzheimers,0.394,0.00359,immune,blood
Erythroid (4.2%),Alzheimers,0.337,2.53E-05,immune,blood
Bcells (1.3%),Multiple sclerosis,10,1.74E-09,immune,blood
Tcells (1.7%),Multiple sclerosis,10,1.40E-11,immune,blood
Dendritic cells (2.6%),Multiple sclerosis,10,5.23E-12,immune,blood
Monocytes (2.1%),Multiple sclerosis,5.751,6.74E-10,immune,blood
Megakaryocytes (1.5%),Multiple sclerosis,9.566,1.38E-07,immune,blood
Erythroid (4.2%),Multiple sclerosis,3.569,8.31E-13,Immune,blood
GABAergic (1.2%),Num Children,2.792,0.000817,brain-related,brain
Glutamatergic (2.9%),Num Children,0.474,0.0482,brain-related,brain
Non_neuronal (1.0%),Num Children,0,0.157,brain-related,brain
GABAergic (1.2%),BMIz,2.542,1.59E-07,brain-related,brain
Glutamatergic (2.9%),BMIz,0.554,2.18E-07,brain-related,brain
Non_neuronal (1.0%),BMIz,0,0.0562,brain-related,brain
GABAergic (1.2%),Major Depressive Disorder,4.042,0.000144,brain-related,brain
Glutamatergic (2.9%),Major Depressive Disorder,1.142,0.000662,brain-related,brain
Non_neuronal (1.0%),Major Depressive Disorder,0,0.992,brain-related,brain
GABAergic (1.2%),Neuroticism,1.466,1.26E-06,brain-related,brain
